Adm_No,Name,Class,Gender,Subject,Marks,Percentage
365,Student_365,II,Female,Maths,74.6,79.7
368,Student_368,II,Other,Maths,85.1,82.9
369,Student_369,III,Other,Maths,67.1,85.1
370,Student_370,I,Male,Maths,71.9,75.5
374,Student_374,II,Female,Maths,75.7,82.2
377,Student_377,II,Female,Maths,61.0,80.5
380,Student_380,II,Female,Maths,100.0,100.0
382,Student_382,I,Male,Maths,85.2,83.1
383,Student_383,II,Male,Maths,89.5,83.7
384,Student_384,III,Female,Maths,83.8,82.9
385,Student_385,I,Female,Maths,91.7,83.0
386,Student_386,II,Female,Maths,81.9,93.4
387,Student_387,III,Other,Maths,86.6,93.7
392,Student_392,II,Female,Maths,71.6,80.8
394,Student_394,I,Male,Maths,97.5,94.3
402,Student_402,III,Male,Maths,78.6,80.6
404,Student_404,II,Female,Maths,89.1,88.2
405,Student_405,III,Other,Maths,74.9,76.2
408,Student_408,III,Female,Maths,77.4,81.6
409,Student_409,I,Male,Maths,69.3,79.9
415,Student_415,I,Female,Maths,94.2,80.8
422,Student_422,II,Female,Maths,90.1,80.4
423,Student_423,III,Female,Maths,67.3,81.6
429,Student_429,III,Male,Maths,100.0,79.1
432,Student_432,III,Male,Maths,87.3,85.4
433,Student_433,I,Male,Maths,69.8,76.9
437,Student_437,II,Other,Maths,100.0,100.0
439,Student_439,I,Female,Maths,84.2,81.7
440,Student_440,II,Female,Maths,86.6,86.6
444,Student_444,III,Other,Maths,90.8,81.9
445,Student_445,I,Male,Maths,87.5,75.7
446,Student_446,II,Male,Maths,60.3,80.6
448,Student_448,I,Female,Maths,81.0,91.5
450,Student_450,III,Other,Maths,89.3,77.5
453,Student_453,III,Other,Maths,69.8,75.3
455,Student_455,II,Female,Maths,96.0,93.9
457,Student_457,I,Other,Maths,74.4,76.9
461,Student_461,II,Other,Maths,91.9,86.9
462,Student_462,III,Female,Maths,90.3,80.6
467,Student_467,II,Female,Maths,79.1,79.9
468,Student_468,III,Male,Maths,81.0,91.4
472,Student_472,I,Female,Maths,67.0,75.0
473,Student_473,II,Female,Maths,93.4,82.8
475,Student_475,I,Male,Maths,82.1,76.2
476,Student_476,II,Female,Maths,79.9,77.4
479,Student_479,II,Male,Maths,91.1,83.8
488,Student_488,II,Other,Maths,81.6,79.3
492,Student_492,III,Female,Maths,88.9,83.4
493,Student_493,I,Male,Maths,100.0,98.2
494,Student_494,II,Female,Maths,100.0,98.2
498,Student_498,III,Male,Maths,98.3,85.3
503,Student_503,II,Other,Maths,81.4,86.1
509,Student_509,II,Other,Maths,68.6,83.3
510,Student_510,III,Female,Maths,80.6,80.3
513,Student_513,III,Female,Maths,91.6,79.2
514,Student_514,I,Male,Maths,82.0,86.5
517,Student_517,I,Male,Maths,84.0,92.0
522,Student_522,III,Female,Maths,95.1,82.5
524,Student_524,II,Other,Maths,85.5,91.1
527,Student_527,II,Other,Maths,87.8,78.7
528,Student_528,III,Male,Maths,86.8,84.5
531,Student_531,III,Male,Maths,79.7,84.9
532,Student_532,I,Male,Maths,77.9,92.2
533,Student_533,II,Other,Maths,95.8,100.0
535,Student_535,I,Male,Maths,77.5,85.6
539,Student_539,II,Other,Maths,72.5,79.2
540,Student_540,III,Other,Maths,86.0,94.6
546,Student_546,III,Male,Maths,92.5,88.2
548,Student_548,II,Other,Maths,80.0,82.1
549,Student_549,III,Male,Maths,91.3,94.3
553,Student_553,I,Female,Maths,100.0,82.5
555,Student_555,III,Female,Maths,90.9,89.8
567,Student_567,III,Other,Maths,76.9,77.2
568,Student_568,I,Male,Maths,85.4,89.1
569,Student_569,II,Male,Maths,60.5,78.1
571,Student_571,I,Other,Maths,100.0,97.3
581,Student_581,II,Female,Maths,86.5,76.6
584,Student_584,II,Female,Maths,100.0,75.6
585,Student_585,III,Other,Maths,76.1,85.1
590,Student_590,II,Female,Maths,91.2,97.7
591,Student_591,III,Male,Maths,74.4,93.8
599,Student_599,II,Male,Maths,84.0,76.7
600,Student_600,III,Male,Maths,90.7,100.0
602,Student_602,II,Male,Maths,80.8,79.9
605,Student_605,II,Other,Maths,85.9,95.2
606,Student_606,III,Female,Maths,80.9,76.1
612,Student_612,III,Other,Maths,73.0,79.4
613,Student_613,I,Female,Maths,81.8,79.4
617,Student_617,II,Male,Maths,89.3,100.0
619,Student_619,I,Other,Maths,73.8,83.5
625,Student_625,I,Other,Maths,81.9,81.6
631,Student_631,I,Female,Maths,80.7,83.2
632,Student_632,II,Male,Maths,94.4,99.9
635,Student_635,II,Female,Maths,69.1,76.6
640,Student_640,I,Female,Maths,84.6,99.2
641,Student_641,II,Other,Maths,94.2,94.5
643,Student_643,I,Female,Maths,85.0,86.3
644,Student_644,II,Female,Maths,77.0,83.8
646,Student_646,I,Male,Maths,95.3,84.1
647,Student_647,II,Female,Maths,100.0,97.5
648,Student_648,III,Male,Maths,87.1,86.8
652,Student_652,I,Male,Maths,57.7,75.2
653,Student_653,II,Other,Maths,85.4,76.4
656,Student_656,II,Male,Maths,89.0,81.3
657,Student_657,III,Female,Maths,87.5,86.0
663,Student_663,III,Female,Maths,75.8,76.8
664,Student_664,I,Other,Maths,83.6,76.9
666,Student_666,III,Male,Maths,100.0,93.7
671,Student_671,II,Female,Maths,99.8,83.6
673,Student_673,I,Male,Maths,67.2,80.2
677,Student_677,II,Female,Maths,100.0,92.0
678,Student_678,III,Other,Maths,98.7,91.2
679,Student_679,I,Male,Maths,82.6,77.6
688,Student_688,I,Female,Maths,88.8,84.0
690,Student_690,III,Male,Maths,79.3,86.7
697,Student_697,I,Female,Maths,84.2,86.4
698,Student_698,II,Male,Maths,74.3,76.9
706,Student_706,I,Female,Maths,100.0,98.0
708,Student_708,III,Female,Maths,100.0,76.3
709,Student_709,I,Male,Maths,100.0,99.6
713,Student_713,II,Male,Maths,72.2,88.1
717,Student_717,III,Other,Maths,67.2,82.2
720,Student_720,III,Other,Maths,80.1,77.3
738,Student_738,III,Female,Maths,78.7,75.0
743,Student_743,II,Other,Maths,68.2,80.6
748,Student_748,I,Male,Maths,92.0,100.0
749,Student_749,II,Female,Maths,95.9,93.2
760,Student_760,I,Other,Maths,82.2,93.3
767,Student_767,II,Other,Maths,100.0,94.1
768,Student_768,III,Other,Maths,77.2,84.1
772,Student_772,I,Female,Maths,70.0,77.3
774,Student_774,III,Male,Maths,93.1,85.9
776,Student_776,II,Male,Maths,83.8,82.6
778,Student_778,I,Other,Maths,99.6,88.4
786,Student_786,III,Male,Maths,85.8,85.3
788,Student_788,II,Male,Maths,97.2,83.9
789,Student_789,III,Other,Maths,95.6,97.1
790,Student_790,I,Female,Maths,67.8,78.0
791,Student_791,II,Other,Maths,82.4,88.9
793,Student_793,I,Female,Maths,92.7,90.2
797,Student_797,II,Other,Maths,71.4,85.6
798,Student_798,III,Other,Maths,86.4,84.9
799,Student_799,I,Other,Maths,72.1,77.0
800,Student_800,II,Male,Maths,77.4,91.5
802,Student_802,I,Female,Maths,67.8,82.5
804,Student_804,III,Female,Maths,53.4,75.4
806,Student_806,II,Other,Maths,68.5,80.7
808,Student_808,I,Female,Maths,78.1,80.0
809,Student_809,II,Female,Maths,100.0,100.0
815,Student_815,II,Other,Maths,90.0,91.8
820,Student_820,I,Female,Maths,98.0,96.3
821,Student_821,II,Other,Maths,91.5,100.0
822,Student_822,III,Other,Maths,76.8,100.0
830,Student_830,II,Other,Maths,92.4,97.4
834,Student_834,III,Other,Maths,81.6,77.5
835,Student_835,I,Female,Maths,89.8,78.5
836,Student_836,II,Male,Maths,90.2,86.9
839,Student_839,II,Male,Maths,77.8,76.9
840,Student_840,III,Female,Maths,100.0,100.0
841,Student_841,I,Female,Maths,91.2,90.3
845,Student_845,II,Other,Maths,96.4,95.7
849,Student_849,III,Male,Maths,71.1,79.6
850,Student_850,I,Other,Maths,75.7,77.8
853,Student_853,I,Male,Maths,92.2,93.0
856,Student_856,I,Female,Maths,100.0,85.2
858,Student_858,III,Male,Maths,81.7,79.5
864,Student_864,III,Female,Maths,89.3,83.4
876,Student_876,III,Male,Maths,69.3,75.9
877,Student_877,I,Male,Maths,97.2,81.6
882,Student_882,III,Male,Maths,85.2,88.2
885,Student_885,III,Male,Maths,90.7,78.9
887,Student_887,II,Male,Maths,74.3,83.3
889,Student_889,I,Female,Maths,99.1,92.5
891,Student_891,III,Male,Maths,83.5,77.9
895,Student_895,I,Male,Maths,77.4,75.8
899,Student_899,II,Female,Maths,95.4,97.0
902,Student_902,II,Female,Maths,94.7,91.0
903,Student_903,III,Other,Maths,86.6,81.0
904,Student_904,I,Female,Maths,74.9,83.0
913,Student_913,I,Female,Maths,96.4,87.6
915,Student_915,III,Female,Maths,100.0,100.0
916,Student_916,I,Male,Maths,98.5,88.3
919,Student_919,I,Male,Maths,100.0,93.8
920,Student_920,II,Other,Maths,96.5,84.6
923,Student_923,II,Male,Maths,92.6,86.6
924,Student_924,III,Male,Maths,98.4,87.1
925,Student_925,I,Male,Maths,82.7,82.3
933,Student_933,III,Other,Maths,65.8,83.0
935,Student_935,II,Female,Maths,100.0,93.3
936,Student_936,III,Other,Maths,96.2,83.6
949,Student_949,I,Male,Maths,95.0,95.2
951,Student_951,III,Other,Maths,98.7,86.1
952,Student_952,I,Other,Maths,86.4,85.1
953,Student_953,II,Other,Maths,47.9,76.0
954,Student_954,III,Other,Maths,100.0,82.2
960,Student_960,III,Female,Maths,76.0,88.2
963,Student_963,III,Male,Maths,76.9,76.4
965,Student_965,II,Female,Maths,76.2,95.3
971,Student_971,II,Other,Maths,77.2,83.4
972,Student_972,III,Male,Maths,73.1,75.8
983,Student_983,II,Other,Maths,74.2,77.1
985,Student_985,I,Male,Maths,79.6,76.6
988,Student_988,I,Other,Maths,68.1,77.1
1000,Student_1000,I,Other,Maths,72.5,77.4
1001,Student_1001,II,Other,Maths,90.1,85.1
1002,Student_1002,III,Female,Maths,100.0,84.0
1003,Student_1003,I,Male,Maths,85.8,86.9
1005,Student_1005,III,Other,Maths,71.1,81.5
1007,Student_1007,II,Female,Maths,86.2,90.3
1009,Student_1009,I,Other,Maths,100.0,93.9
1011,Student_1011,III,Male,Maths,98.3,92.8
1023,Student_1023,III,Female,Maths,75.6,84.5
1026,Student_1026,III,Other,Maths,88.6,93.9
1027,Student_1027,I,Male,Maths,89.0,75.3
1031,Student_1031,II,Female,Maths,92.3,91.3
1032,Student_1032,III,Male,Maths,83.7,92.2
1034,Student_1034,II,Other,Maths,95.0,100.0
1035,Student_1035,III,Male,Maths,72.8,76.1
1042,Student_1042,I,Male,Maths,99.9,95.0
1045,Student_1045,I,Male,Maths,89.9,83.5
1049,Student_1049,II,Female,Maths,88.5,81.6
1050,Student_1050,III,Male,Maths,89.9,78.6
1053,Student_1053,III,Other,Maths,87.3,91.6
1058,Student_1058,II,Other,Maths,86.3,80.5
1060,Student_1060,I,Female,Maths,75.1,80.4
1063,Student_1063,I,Other,Maths,88.4,81.4
1068,Student_1068,III,Male,Maths,70.0,90.2
1071,Student_1071,III,Other,Maths,79.2,81.6
1072,Student_1072,I,Other,Maths,94.9,89.3
1078,Student_1078,I,Male,Maths,85.4,87.4
1083,Student_1083,III,Male,Maths,64.6,82.8
1088,Student_1088,II,Female,Maths,64.7,77.3
1092,Student_1092,III,Male,Maths,78.2,75.0
1094,Student_1094,II,Other,Maths,76.3,88.5
1095,Student_1095,III,Male,Maths,82.9,88.2
1098,Student_1098,III,Female,Maths,68.3,80.5
1101,Student_1101,III,Other,Maths,93.3,90.8
1105,Student_1105,I,Other,Maths,92.2,100.0
1107,Student_1107,III,Other,Maths,83.2,81.6
1111,Student_1111,I,Male,Maths,99.3,91.5
1113,Student_1113,III,Male,Maths,100.0,89.5
1114,Student_1114,I,Female,Maths,86.9,86.4
1115,Student_1115,II,Female,Maths,86.3,84.9
1122,Student_1122,III,Female,Maths,98.3,100.0
1126,Student_1126,I,Female,Maths,79.8,79.4
1128,Student_1128,III,Other,Maths,91.5,100.0
1134,Student_1134,III,Male,Maths,83.0,81.1
1138,Student_1138,I,Male,Maths,100.0,89.5
1147,Student_1147,I,Female,Maths,88.1,79.0
1163,Student_1163,II,Other,Maths,83.3,88.2
1166,Student_1166,II,Male,Maths,90.5,87.0
1169,Student_1169,II,Other,Maths,90.0,97.8
1171,Student_1171,I,Female,Maths,73.1,80.4
1175,Student_1175,II,Male,Maths,92.6,84.9
1178,Student_1178,II,Female,Maths,100.0,100.0
1179,Student_1179,III,Male,Maths,85.0,96.8
1183,Student_1183,I,Other,Maths,71.6,79.2
1184,Student_1184,II,Male,Maths,100.0,89.4
1186,Student_1186,I,Male,Maths,57.4,77.3
1191,Student_1191,III,Male,Maths,78.8,76.6
1194,Student_1194,III,Male,Maths,100.0,96.7
1201,Student_1201,I,Other,Maths,80.8,75.9
1203,Student_1203,III,Other,Maths,87.1,100.0
1204,Student_1204,I,Male,Maths,97.4,84.5
1211,Student_1211,II,Female,Maths,86.7,87.9
1212,Student_1212,III,Male,Maths,79.7,78.7
1216,Student_1216,I,Other,Maths,80.2,83.6
1218,Student_1218,III,Female,Maths,70.9,79.6
1219,Student_1219,I,Female,Maths,81.7,100.0
1220,Student_1220,II,Female,Maths,76.6,78.0
1230,Student_1230,III,Male,Maths,93.5,84.8
1231,Student_1231,I,Other,Maths,100.0,94.2
1232,Student_1232,II,Other,Maths,72.3,78.1
1234,Student_1234,I,Female,Maths,100.0,96.7
1241,Student_1241,II,Female,Maths,91.1,80.7
1246,Student_1246,I,Other,Maths,100.0,97.3
1247,Student_1247,II,Other,Maths,82.1,82.3
1249,Student_1249,I,Other,Maths,79.9,78.0
1252,Student_1252,I,Female,Maths,65.9,75.8
1254,Student_1254,III,Female,Maths,71.2,79.9
1255,Student_1255,I,Other,Maths,94.8,94.0
1258,Student_1258,I,Female,Maths,76.8,82.5
1266,Student_1266,III,Other,Maths,97.8,84.8
1268,Student_1268,II,Other,Maths,95.7,84.7
1271,Student_1271,II,Male,Maths,89.4,83.3
1273,Student_1273,I,Male,Maths,93.6,94.5
1278,Student_1278,III,Other,Maths,87.3,85.0
1279,Student_1279,I,Male,Maths,81.3,88.3
1281,Student_1281,III,Male,Maths,68.8,75.7
1283,Student_1283,II,Male,Maths,84.6,84.4
1285,Student_1285,I,Female,Maths,96.4,92.1
1289,Student_1289,II,Other,Maths,73.1,83.0
1290,Student_1290,III,Female,Maths,88.9,81.9
1292,Student_1292,II,Female,Maths,89.1,75.9
1295,Student_1295,II,Other,Maths,76.6,87.2
1298,Student_1298,II,Other,Maths,89.9,80.9
1305,Student_1305,III,Other,Maths,84.1,98.6
1306,Student_1306,I,Female,Maths,78.5,80.7
1307,Student_1307,II,Female,Maths,78.3,79.1
1310,Student_1310,II,Female,Maths,91.0,88.8
1311,Student_1311,III,Male,Maths,68.0,81.1
1312,Student_1312,I,Other,Maths,76.3,83.1
1317,Student_1317,III,Other,Maths,96.5,87.0
1322,Student_1322,II,Female,Maths,78.3,84.9
1324,Student_1324,I,Female,Maths,100.0,95.9
1326,Student_1326,III,Male,Maths,89.9,76.3
1328,Student_1328,II,Male,Maths,87.3,82.9
1329,Student_1329,III,Other,Maths,74.6,84.6
1332,Student_1332,III,Other,Maths,93.0,84.6
1333,Student_1333,I,Other,Maths,99.2,96.3
1335,Student_1335,III,Female,Maths,81.3,81.7
1340,Student_1340,II,Female,Maths,66.8,75.1
1342,Student_1342,I,Other,Maths,70.8,75.5
1348,Student_1348,I,Female,Maths,67.0,88.8
1349,Student_1349,II,Male,Maths,91.0,80.6
1352,Student_1352,II,Other,Maths,63.2,77.9
1355,Student_1355,II,Male,Maths,89.3,91.4
1365,Student_1365,III,Other,Maths,67.1,77.4
1366,Student_1366,I,Female,Maths,88.8,82.9
1376,Student_1376,II,Female,Maths,85.1,93.6
1377,Student_1377,III,Female,Maths,100.0,83.0
1378,Student_1378,I,Female,Maths,62.2,76.0
1382,Student_1382,II,Other,Maths,84.5,80.2
1384,Student_1384,I,Other,Maths,90.5,80.3
1387,Student_1387,I,Female,Maths,83.8,75.8
1388,Student_1388,II,Other,Maths,90.4,92.2
1390,Student_1390,I,Other,Maths,78.9,77.1
1392,Student_1392,III,Female,Maths,77.5,82.8
1399,Student_1399,I,Other,Maths,93.0,82.9
1401,Student_1401,III,Male,Maths,83.3,89.7
1403,Student_1403,II,Male,Maths,83.3,76.8
1405,Student_1405,I,Other,Maths,100.0,92.1
1409,Student_1409,II,Other,Maths,85.1,80.8
1417,Student_1417,I,Other,Maths,100.0,93.6
1419,Student_1419,III,Male,Maths,89.6,87.8
1422,Student_1422,III,Female,Maths,98.4,90.7
1423,Student_1423,I,Male,Maths,74.9,75.9
1425,Student_1425,III,Other,Maths,95.4,80.6
1427,Student_1427,II,Other,Maths,96.7,100.0
1429,Student_1429,I,Male,Maths,74.5,78.6
1433,Student_1433,II,Other,Maths,94.3,99.9
1436,Student_1436,II,Female,Maths,72.8,80.7
1439,Student_1439,II,Other,Maths,96.2,79.4
1440,Student_1440,III,Other,Maths,81.3,81.4
1442,Student_1442,II,Male,Maths,96.8,86.8
1447,Student_1447,I,Male,Maths,91.4,76.7
1450,Student_1450,I,Male,Maths,76.3,82.8
1453,Student_1453,I,Other,Maths,71.7,76.5
1454,Student_1454,II,Other,Maths,100.0,97.7
1456,Student_1456,I,Male,Maths,85.8,95.7
1457,Student_1457,II,Male,Maths,96.2,100.0
1458,Student_1458,III,Other,Maths,81.6,81.9
1466,Student_1466,II,Other,Maths,82.0,89.6
1468,Student_1468,I,Female,Maths,100.0,93.3
1469,Student_1469,II,Other,Maths,75.0,87.6
1470,Student_1470,III,Other,Maths,72.3,88.1
1472,Student_1472,II,Male,Maths,60.8,81.1
1474,Student_1474,I,Other,Maths,97.2,89.9
1478,Student_1478,II,Other,Maths,97.9,89.0
1479,Student_1479,III,Other,Maths,96.7,89.8
1481,Student_1481,II,Other,Maths,100.0,90.5
1483,Student_1483,I,Male,Maths,100.0,100.0
1485,Student_1485,III,Male,Maths,73.6,84.8
1486,Student_1486,I,Other,Maths,89.8,84.5
1489,Student_1489,I,Male,Maths,89.6,86.8
1491,Student_1491,III,Female,Maths,78.4,79.9
1492,Student_1492,I,Male,Maths,74.7,94.1
1493,Student_1493,II,Female,Maths,91.3,99.1
1498,Student_1498,I,Female,Maths,91.5,94.7
1500,Student_1500,III,Male,Maths,82.3,78.7
1501,Student_1501,I,Female,Maths,85.0,75.8
1502,Student_1502,II,Female,Maths,91.8,79.0
1506,Student_1506,III,Other,Maths,100.0,90.9
1509,Student_1509,III,Male,Maths,91.1,85.4
1520,Student_1520,II,Female,Maths,87.7,77.0
1521,Student_1521,III,Female,Maths,64.3,75.9
1523,Student_1523,II,Male,Maths,92.0,85.8
1530,Student_1530,III,Female,Maths,79.8,92.0
1531,Student_1531,I,Female,Maths,67.1,76.5
1537,Student_1537,I,Female,Maths,58.1,82.0
1543,Student_1543,I,Female,Maths,71.6,76.0
1544,Student_1544,II,Male,Maths,88.2,91.0
1551,Student_1551,III,Female,Maths,80.1,88.5
1553,Student_1553,II,Other,Maths,100.0,87.6
1554,Student_1554,III,Female,Maths,87.6,81.0
1556,Student_1556,II,Other,Maths,90.6,93.0
1557,Student_1557,III,Other,Maths,100.0,86.5
1561,Student_1561,I,Female,Maths,73.2,76.5
1562,Student_1562,II,Female,Maths,75.8,86.8
1566,Student_1566,III,Female,Maths,85.8,91.7
1570,Student_1570,I,Male,Maths,96.0,93.3
1571,Student_1571,II,Female,Maths,74.4,80.6
1576,Student_1576,I,Other,Maths,99.1,89.2
1577,Student_1577,II,Male,Maths,66.2,77.0
1579,Student_1579,I,Other,Maths,92.5,91.7
1584,Student_1584,III,Other,Maths,76.0,75.1
1587,Student_1587,III,Other,Maths,70.4,76.1
1591,Student_1591,I,Other,Maths,85.1,85.2
1594,Student_1594,I,Other,Maths,78.1,84.8
1596,Student_1596,III,Male,Maths,74.3,78.3
1598,Student_1598,II,Male,Maths,81.5,75.4
1600,Student_1600,I,Female,Maths,84.9,81.3
1603,Student_1603,I,Male,Maths,88.6,80.4
1606,Student_1606,I,Male,Maths,97.4,86.7
1612,Student_1612,I,Male,Maths,76.3,86.8
1625,Student_1625,II,Male,Maths,74.3,77.3
1627,Student_1627,I,Male,Maths,90.8,97.6
1630,Student_1630,I,Male,Maths,100.0,100.0
1631,Student_1631,II,Female,Maths,88.9,93.1
1634,Student_1634,II,Other,Maths,97.8,79.0
1638,Student_1638,III,Male,Maths,81.5,82.5
1648,Student_1648,I,Other,Maths,88.8,95.9
1650,Student_1650,III,Other,Maths,81.8,76.2
1652,Student_1652,II,Male,Maths,69.8,83.4
1655,Student_1655,II,Male,Maths,100.0,100.0
1658,Student_1658,II,Other,Maths,100.0,95.4
1662,Student_1662,III,Male,Maths,89.5,99.4
1668,Student_1668,III,Female,Maths,81.9,85.1
1669,Student_1669,I,Male,Maths,85.7,81.7
1670,Student_1670,II,Male,Maths,95.4,81.6
1671,Student_1671,III,Male,Maths,76.5,84.4
1676,Student_1676,II,Male,Maths,58.2,77.9
1678,Student_1678,I,Female,Maths,80.6,81.4
1681,Student_1681,I,Female,Maths,83.3,86.3
1687,Student_1687,I,Other,Maths,88.7,85.3
1688,Student_1688,II,Female,Maths,70.8,83.4
1689,Student_1689,III,Female,Maths,70.7,76.3
1690,Student_1690,I,Other,Maths,79.2,84.5
1692,Student_1692,III,Female,Maths,100.0,100.0
1693,Student_1693,I,Male,Maths,73.1,79.6
1695,Student_1695,III,Other,Maths,100.0,99.9
1698,Student_1698,III,Male,Maths,80.6,83.0
1713,Student_1713,III,Male,Maths,77.1,78.1
1719,Student_1719,III,Male,Maths,100.0,87.2
1723,Student_1723,I,Other,Maths,84.7,84.4
1732,Student_1732,I,Other,Maths,88.4,90.7
1739,Student_1739,II,Male,Maths,65.4,85.6
