Adm_No,Name,Class,Gender,Subject,Marks,Percentage,Term
172,Student_172,I,Female,Maths,86.9,86.7,Final
173,Student_173,II,Male,Maths,80.7,80.8,Mid
174,Student_174,III,Male,Maths,43.7,50.5,Final
175,Student_175,I,Female,Maths,55.8,48.2,Mid
176,Student_176,II,Other,Maths,50.8,63.4,Final
177,Student_177,III,Other,Maths,77.3,86.1,Mid
178,Student_178,I,Female,Maths,48.0,63.1,Final
179,Student_179,II,Male,Maths,35.8,36.9,Mid
180,Student_180,III,Female,Maths,45.7,43.7,Final
181,Student_181,I,Male,Maths,38.0,49.5,Mid
182,Student_182,II,Female,Maths,49.9,59.5,Final
183,Student_183,III,Female,Maths,78.7,73.0,Mid
184,Student_184,I,Other,Maths,79.1,81.5,Final
185,Student_185,II,Other,Maths,50.3,59.7,Mid
186,Student_186,III,Other,Maths,32.5,38.6,Final
187,Student_187,I,Male,Maths,51.7,44.7,Mid
188,Student_188,II,Other,Maths,64.3,58.4,Final
189,Student_189,III,Male,Maths,70.4,71.8,Mid
190,Student_190,I,Female,Maths,65.5,76.1,Final
191,Student_191,II,Other,Maths,73.9,86.6,Mid
192,Student_192,III,Other,Maths,7.6,25.5,Final
193,Student_193,I,Female,Maths,71.1,80.1,Mid
194,Student_194,II,Male,Maths,90.4,84.1,Final
195,Student_195,III,Female,Maths,24.7,32.5,Mid
196,Student_196,I,Other,Maths,82.8,93.0,Final
197,Student_197,II,Female,Maths,62.6,71.9,Mid
198,Student_198,III,Female,Maths,86.3,90.7,Final
199,Student_199,I,Female,Maths,71.3,60.9,Mid
200,Student_200,II,Female,Maths,45.7,54.9,Final
201,Student_201,III,Male,Maths,84.0,90.0,Mid
202,Student_202,I,Other,Maths,38.3,50.1,Final
203,Student_203,II,Male,Maths,100.0,100.0,Mid
204,Student_204,III,Other,Maths,41.8,42.2,Final
205,Student_205,I,Male,Maths,45.8,59.9,Mid
206,Student_206,II,Female,Maths,72.1,82.7,Final
207,Student_207,III,Female,Maths,84.1,80.2,Mid
208,Student_208,I,Female,Maths,68.6,57.8,Final
209,Student_209,II,Female,Maths,58.9,65.2,Mid
210,Student_210,III,Other,Maths,89.1,82.5,Final
211,Student_211,I,Male,Maths,79.9,76.2,Mid
212,Student_212,II,Other,Maths,84.3,65.5,Final
213,Student_213,III,Other,Maths,52.9,62.8,Mid
214,Student_214,I,Other,Maths,79.3,61.4,Final
215,Student_215,II,Male,Maths,90.9,83.2,Mid
216,Student_216,III,Male,Maths,58.4,67.5,Final
217,Student_217,I,Female,Maths,82.4,75.7,Mid
218,Student_218,II,Male,Maths,35.3,43.0,Final
219,Student_219,III,Other,Maths,54.4,52.1,Mid
220,Student_220,I,Other,Maths,53.2,47.3,Final
221,Student_221,II,Female,Maths,55.3,61.5,Mid
222,Student_222,III,Other,Maths,100.0,82.4,Final
223,Student_223,I,Male,Maths,99.0,99.1,Mid
224,Student_224,II,Other,Maths,69.6,69.1,Final
225,Student_225,III,Male,Maths,85.5,77.4,Mid
226,Student_226,I,Other,Maths,93.0,85.6,Final
227,Student_227,II,Female,Maths,72.0,63.1,Mid
228,Student_228,III,Female,Maths,87.3,80.2,Final
229,Student_229,I,Male,Maths,76.3,54.8,Mid
230,Student_230,II,Female,Maths,47.1,44.6,Final
231,Student_231,III,Other,Maths,99.2,97.2,Mid
232,Student_232,I,Other,Maths,83.9,70.5,Final
233,Student_233,II,Female,Maths,39.8,39.7,Mid
234,Student_234,III,Male,Maths,41.0,52.6,Final
235,Student_235,I,Female,Maths,90.5,95.5,Mid
236,Student_236,II,Other,Maths,34.5,39.4,Final
237,Student_237,III,Male,Maths,100.0,87.6,Mid
238,Student_238,I,Other,Maths,92.3,100.0,Final
239,Student_239,II,Other,Maths,51.8,63.7,Mid
240,Student_240,III,Other,Maths,47.9,39.2,Final
241,Student_241,I,Female,Maths,56.6,36.1,Mid
242,Student_242,II,Male,Maths,14.4,28.6,Final
243,Student_243,III,Male,Maths,85.1,64.0,Mid
244,Student_244,I,Other,Maths,72.7,82.2,Final
245,Student_245,II,Female,Maths,77.5,95.8,Mid
246,Student_246,III,Male,Maths,29.1,44.0,Final
247,Student_247,I,Other,Maths,69.7,69.1,Mid
248,Student_248,II,Male,Maths,66.0,70.3,Final
249,Student_249,III,Other,Maths,39.1,40.0,Mid
250,Student_250,I,Female,Maths,53.7,59.2,Final
251,Student_251,II,Female,Maths,74.3,87.5,Mid
252,Student_252,III,Male,Maths,55.5,48.8,Final
253,Student_253,I,Male,Maths,27.0,32.5,Mid
254,Student_254,II,Other,Maths,,63.2,Final
255,Student_255,III,Female,Maths,45.0,38.2,Mid
256,Student_256,I,Other,Maths,74.0,77.6,Final
257,Student_257,II,Other,Maths,82.6,87.9,Mid
258,Student_258,III,Male,Maths,13.5,34.9,Final
259,Student_259,I,Female,Maths,66.7,58.4,Mid
260,Student_260,II,Other,Maths,95.2,93.4,Final
261,Student_261,III,Female,Maths,80.5,75.8,Mid
262,Student_262,I,Female,Maths,58.2,67.4,Final
263,Student_263,II,Female,Maths,86.2,86.1,Mid
264,Student_264,III,Other,Maths,23.7,36.2,Final
265,Student_265,I,Other,Maths,65.3,75.7,Mid
266,Student_266,II,Other,Maths,68.4,55.3,Final
267,Student_267,III,Female,Maths,48.2,51.8,Mid
268,Student_268,I,Female,Maths,71.0,72.6,Final
269,Student_269,II,Female,Maths,54.6,69.4,Mid
270,Student_270,III,Male,Maths,65.1,74.9,Final
271,Student_271,I,Other,Maths,18.7,30.2,Mid
272,Student_272,II,Male,Maths,96.9,100.0,Final
273,Student_273,III,Other,Maths,52.3,58.8,Mid
274,Student_274,I,Female,Maths,58.8,62.3,Final
275,Student_275,II,Other,Maths,54.4,49.2,Mid
276,Student_276,III,Other,Maths,83.2,69.0,Final
277,Student_277,I,Female,Maths,64.8,60.3,Mid
278,Student_278,II,Female,Maths,47.6,58.1,Final
279,Student_279,III,Female,Maths,57.5,70.7,Mid
280,Student_280,I,Female,Maths,46.4,56.5,Final
281,Student_281,II,Male,Maths,77.3,75.9,Mid
282,Student_282,III,Male,Maths,69.4,59.3,Final
283,Student_283,I,Other,Maths,85.8,76.3,Mid
284,Student_284,II,Other,Maths,48.7,28.0,Final
285,Student_285,III,Male,Maths,45.7,46.8,Mid
286,Student_286,I,Male,Maths,31.0,36.4,Final
287,Student_287,II,Female,Maths,52.0,52.6,Mid
288,Student_288,III,Other,Maths,51.0,69.3,Final
289,Student_289,I,Other,Maths,53.0,53.1,Mid
290,Student_290,II,Other,Maths,27.4,31.0,Final
291,Student_291,III,Male,Maths,30.1,42.2,Mid
292,Student_292,I,Male,Maths,77.4,64.6,Final
293,Student_293,II,Female,Maths,74.9,82.4,Mid
294,Student_294,III,Male,Maths,50.9,55.9,Final
295,Student_295,I,Female,Maths,72.7,88.3,Mid
296,Student_296,II,Female,Maths,49.5,48.0,Final
297,Student_297,III,Other,Maths,92.9,73.4,Mid
298,Student_298,I,Male,Maths,50.5,48.5,Final
299,Student_299,II,Other,Maths,86.0,75.1,Mid
300,Student_300,III,Other,Maths,50.1,56.7,Final
301,Student_301,I,Other,Maths,97.5,90.9,Mid
302,Student_302,II,Other,Maths,60.0,67.6,Final
303,Student_303,III,Other,Maths,49.6,60.2,Mid
304,Student_304,I,Male,Maths,77.5,73.2,Final
305,Student_305,II,Female,Maths,78.4,64.3,Mid
306,Student_306,III,Female,Maths,37.1,45.8,Final
307,Student_307,I,Other,Maths,99.7,96.6,Mid
308,Student_308,II,Male,Maths,55.3,75.0,Final
309,Student_309,III,Female,Maths,28.2,39.1,Mid
310,Student_310,I,Male,Maths,76.3,50.3,Final
311,Student_311,II,Male,Maths,43.4,48.2,Mid
312,Student_312,III,Other,Maths,85.3,91.6,Final
313,Student_313,I,Male,Maths,58.2,51.9,Mid
314,Student_314,II,Other,Maths,67.0,77.7,Final
315,Student_315,III,Other,Maths,53.7,47.6,Mid
316,Student_316,I,Other,Maths,100.0,100.0,Final
317,Student_317,II,Male,Maths,47.1,50.5,Mid
318,Student_318,III,Male,Maths,65.0,50.5,Final
319,Student_319,I,Female,Maths,65.5,81.4,Mid
320,Student_320,II,Female,Maths,70.7,74.5,Final
321,Student_321,III,Other,Maths,82.4,69.2,Mid
322,Student_322,I,Female,Maths,100.0,90.7,Final
323,Student_323,II,Male,Maths,30.4,35.1,Mid
324,Student_324,III,Other,Maths,27.3,34.1,Final
325,Student_325,I,Other,Maths,58.1,55.8,Mid
326,Student_326,II,Female,Maths,26.4,46.2,Final
327,Student_327,III,Other,Maths,68.2,68.1,Mid
328,Student_328,I,Other,Maths,63.5,60.8,Final
329,Student_329,II,Female,Maths,56.4,64.1,Mid
330,Student_330,III,Male,Maths,95.9,96.0,Final
331,Student_331,I,Female,Maths,55.8,55.8,Mid
332,Student_332,II,Female,Maths,30.2,45.1,Final
333,Student_333,III,Other,Maths,60.9,61.6,Mid
334,Student_334,I,Other,Maths,68.4,82.6,Final
335,Student_335,II,Female,Maths,62.8,69.4,Mid
336,Student_336,III,Female,Maths,74.4,79.6,Final
337,Student_337,I,Female,Maths,92.7,77.6,Mid
338,Student_338,II,Female,Maths,85.0,76.4,Final
339,Student_339,III,Female,Maths,97.2,81.9,Mid
340,Student_340,I,Female,Maths,45.7,51.8,Final
341,Student_341,II,Female,Maths,97.1,100.0,Mid
342,Student_342,III,Other,Maths,65.5,62.9,Final
343,Student_343,I,Male,Maths,52.9,51.9,Mid
344,Student_344,II,Male,Maths,59.1,47.9,Final
345,Student_345,III,Other,Maths,91.5,84.7,Mid
346,Student_346,I,Other,Maths,65.0,55.8,Final
347,Student_347,II,Female,Maths,87.8,90.6,Mid
348,Student_348,III,Female,Maths,100.0,99.6,Final
349,Student_349,I,Female,Maths,48.2,53.1,Mid
350,Student_350,II,Female,Maths,64.0,40.1,Final
351,Student_351,III,Male,Maths,41.3,44.4,Mid
352,Student_352,I,Female,Maths,66.5,65.1,Final
353,Student_353,II,Male,Maths,66.6,58.9,Mid
354,Student_354,III,Male,Maths,73.9,49.9,Final
355,Student_355,I,Female,Maths,88.3,77.6,Mid
356,Student_356,II,Other,Maths,62.3,70.8,Final
357,Student_357,III,Male,Maths,76.6,65.9,Mid
358,Student_358,I,Other,Maths,24.5,40.4,Final
359,Student_359,II,Female,Maths,55.1,60.3,Mid
360,Student_360,III,Other,Maths,70.7,78.5,Final
361,Student_361,I,Female,Maths,63.3,67.5,Mid
362,Student_362,II,Other,Maths,47.8,40.0,Final
363,Student_363,III,Female,Maths,80.4,69.4,Mid
364,Student_364,I,Other,Maths,90.7,78.2,Final
365,Student_365,II,Female,Maths,74.6,79.7,Mid
366,Student_366,III,Female,Maths,35.7,50.2,Final
367,Student_367,I,Female,Maths,67.2,62.3,Mid
368,Student_368,II,Other,Maths,85.1,82.9,Final
369,Student_369,III,Other,Maths,67.1,85.1,Mid
370,Student_370,I,Male,Maths,71.9,75.5,Final
371,Student_371,II,Other,Maths,50.7,61.0,Mid
372,Student_372,III,Other,Maths,11.7,33.1,Final
373,Student_373,I,Other,Maths,66.8,65.3,Mid
374,Student_374,II,Female,Maths,75.7,82.2,Final
375,Student_375,III,Female,Maths,31.5,37.8,Mid
376,Student_376,I,Other,Maths,41.5,40.8,Final
377,Student_377,II,Female,Maths,61.0,80.5,Mid
378,Student_378,III,Female,Maths,63.6,74.8,Final
379,Student_379,I,Female,Maths,38.7,36.3,Mid
380,Student_380,II,Female,Maths,100.0,100.0,Final
381,Student_381,III,Male,Maths,70.5,57.0,Mid
382,Student_382,I,Male,Maths,85.2,83.1,Final
383,Student_383,II,Male,Maths,89.5,83.7,Mid
384,Student_384,III,Female,Maths,83.8,82.9,Final
385,Student_385,I,Female,Maths,91.7,83.0,Mid
386,Student_386,II,Female,Maths,81.9,93.4,Final
387,Student_387,III,Other,Maths,86.6,93.7,Mid
388,Student_388,I,Male,Maths,58.1,59.2,Final
389,Student_389,II,Female,Maths,51.9,52.0,Mid
390,Student_390,III,Male,Maths,33.2,45.7,Final
391,Student_391,I,Male,Maths,27.5,43.5,Mid
392,Student_392,II,Female,Maths,71.6,80.8,Final
393,Student_393,III,Male,Maths,40.5,47.9,Mid
394,Student_394,I,Male,Maths,97.5,94.3,Final
395,Student_395,II,Other,Maths,14.0,34.9,Mid
396,Student_396,III,Other,Maths,65.3,42.4,Final
397,Student_397,I,Male,Maths,41.5,50.4,Mid
398,Student_398,II,Male,Maths,15.7,32.1,Final
399,Student_399,III,Male,Maths,30.1,43.8,Mid
400,Student_400,I,Female,Maths,60.0,61.5,Final
401,Student_401,II,Other,Maths,45.4,55.0,Mid
402,Student_402,III,Male,Maths,78.6,80.6,Final
403,Student_403,I,Male,Maths,51.9,56.1,Mid
404,Student_404,II,Female,Maths,89.1,88.2,Final
405,Student_405,III,Other,Maths,74.9,76.2,Mid
406,Student_406,I,Female,Maths,52.6,48.6,Final
407,Student_407,II,Other,Maths,48.3,31.9,Mid
408,Student_408,III,Female,Maths,77.4,81.6,Final
409,Student_409,I,Male,Maths,69.3,79.9,Mid
410,Student_410,II,Female,Maths,50.1,41.0,Final
411,Student_411,III,Other,Maths,62.1,58.3,Mid
412,Student_412,I,Female,Maths,60.0,61.2,Final
413,Student_413,II,Male,Maths,40.0,38.3,Mid
414,Student_414,III,Male,Maths,39.3,44.9,Final
415,Student_415,I,Female,Maths,94.2,80.8,Mid
416,Student_416,II,Female,Maths,64.4,55.1,Final
417,Student_417,III,Female,Maths,72.9,70.4,Mid
418,Student_418,I,Female,Maths,34.3,37.6,Final
419,Student_419,II,Female,Maths,28.2,45.9,Mid
420,Student_420,III,Female,Maths,66.5,58.8,Final
421,Student_421,I,Male,Maths,66.7,65.9,Mid
422,Student_422,II,Female,Maths,90.1,80.4,Final
423,Student_423,III,Female,Maths,67.3,81.6,Mid
424,Student_424,I,Other,Maths,39.7,41.3,Final
425,Student_425,II,Other,Maths,32.0,34.5,Mid
426,Student_426,III,Female,Maths,36.0,54.8,Final
427,Student_427,I,Male,Maths,58.8,73.9,Mid
428,Student_428,II,Male,Maths,60.8,58.1,Final
429,Student_429,III,Male,Maths,100.0,79.1,Mid
430,Student_430,I,Male,Maths,66.8,54.0,Final
431,Student_431,II,Other,Maths,42.2,60.4,Mid
432,Student_432,III,Male,Maths,87.3,85.4,Final
433,Student_433,I,Male,Maths,69.8,76.9,Mid
434,Student_434,II,Female,Maths,63.2,56.7,Final
435,Student_435,III,Male,Maths,53.8,52.6,Mid
436,Student_436,I,Other,Maths,52.9,59.2,Final
437,Student_437,II,Other,Maths,100.0,100.0,Mid
438,Student_438,III,Other,Maths,41.1,40.5,Final
439,Student_439,I,Female,Maths,84.2,81.7,Mid
440,Student_440,II,Female,Maths,86.6,86.6,Final
441,Student_441,III,Female,Maths,67.9,67.8,Mid
442,Student_442,I,Male,Maths,62.7,61.8,Final
443,Student_443,II,Female,Maths,64.0,50.8,Mid
444,Student_444,III,Other,Maths,90.8,81.9,Final
445,Student_445,I,Male,Maths,87.5,75.7,Mid
446,Student_446,II,Male,Maths,60.3,80.6,Final
447,Student_447,III,Female,Maths,46.2,41.9,Mid
448,Student_448,I,Female,Maths,81.0,91.5,Final
449,Student_449,II,Other,Maths,43.2,41.3,Mid
450,Student_450,III,Other,Maths,89.3,77.5,Final
451,Student_451,I,Other,Maths,26.2,37.0,Mid
452,Student_452,II,Female,Maths,52.3,50.0,Final
453,Student_453,III,Other,Maths,69.8,75.3,Mid
454,Student_454,I,Male,Maths,66.8,56.7,Final
455,Student_455,II,Female,Maths,,93.9,Mid
456,Student_456,III,Male,Maths,46.3,49.5,Final
457,Student_457,I,Other,Maths,74.4,76.9,Mid
458,Student_458,II,Female,Maths,64.7,61.8,Final
459,Student_459,III,Female,Maths,49.8,32.5,Mid
460,Student_460,I,Male,Maths,51.1,48.5,Final
461,Student_461,II,Other,Maths,91.9,86.9,Mid
462,Student_462,III,Female,Maths,90.3,80.6,Final
463,Student_463,I,Other,Maths,35.2,36.9,Mid
464,Student_464,II,Female,Maths,52.0,61.9,Final
465,Student_465,III,Male,Maths,63.5,62.3,Mid
466,Student_466,I,Female,Maths,81.0,71.9,Final
467,Student_467,II,Female,Maths,79.1,79.9,Mid
468,Student_468,III,Male,Maths,81.0,91.4,Final
469,Student_469,I,Male,Maths,43.7,36.9,Mid
470,Student_470,II,Other,Maths,68.8,51.0,Final
471,Student_471,III,Female,Maths,34.9,34.3,Mid
472,Student_472,I,Female,Maths,67.0,75.0,Final
473,Student_473,II,Female,Maths,93.4,82.8,Mid
474,Student_474,III,Other,Maths,45.6,36.4,Final
475,Student_475,I,Male,Maths,82.1,76.2,Mid
476,Student_476,II,Female,Maths,79.9,77.4,Final
477,Student_477,III,Male,Maths,67.8,66.0,Mid
478,Student_478,I,Male,Maths,45.8,30.2,Final
479,Student_479,II,Male,Maths,91.1,83.8,Mid
480,Student_480,III,Female,Maths,65.4,65.9,Final
481,Student_481,I,Female,Maths,52.9,48.8,Mid
482,Student_482,II,Female,Maths,45.3,46.8,Final
483,Student_483,III,Other,Maths,43.8,45.8,Mid
484,Student_484,I,Female,Maths,63.9,66.2,Final
485,Student_485,II,Female,Maths,55.8,48.6,Mid
486,Student_486,III,Other,Maths,52.4,54.4,Final
487,Student_487,I,Female,Maths,60.2,60.6,Mid
488,Student_488,II,Other,Maths,81.6,79.3,Final
489,Student_489,III,Male,Maths,76.1,68.2,Mid
490,Student_490,I,Other,Maths,73.7,61.1,Final
491,Student_491,II,Other,Maths,53.8,60.0,Mid
492,Student_492,III,Female,Maths,88.9,83.4,Final
493,Student_493,I,Male,Maths,100.0,98.2,Mid
494,Student_494,II,Female,Maths,100.0,98.2,Final
495,Student_495,III,Other,Maths,43.1,60.2,Mid
496,Student_496,I,Female,Maths,50.4,50.7,Final
497,Student_497,II,Male,Maths,56.9,54.9,Mid
498,Student_498,III,Male,Maths,98.3,85.3,Final
499,Student_499,I,Female,Maths,83.1,70.8,Mid
500,Student_500,II,Other,Maths,63.6,57.1,Final
501,Student_501,III,Female,Maths,98.3,74.2,Mid
502,Student_502,I,Other,Maths,69.0,63.4,Final
503,Student_503,II,Other,Maths,81.4,86.1,Mid
504,Student_504,III,Male,Maths,48.0,38.4,Final
505,Student_505,I,Male,Maths,59.9,61.2,Mid
506,Student_506,II,Other,Maths,46.3,42.0,Final
