Adm_No,Name,Class,Gender,Subject,Marks,Percentage
136,Student_136,I,Female,Maths,59.8,50.1
137,Student_137,II,Male,Maths,72.8,81.6
138,Student_138,III,Other,Maths,43.6,54.2
139,Student_139,I,Female,Maths,59.7,67.6
140,Student_140,II,Other,Maths,88.7,85.7
141,Student_141,III,Male,Maths,53.8,52.6
142,Student_142,I,Female,Maths,73.5,89.7
143,Student_143,II,Male,Maths,58.5,62.0
144,Student_144,III,Other,Maths,79.1,78.7
145,Student_145,I,Female,Maths,99.1,95.6
146,Student_146,II,Male,Maths,90.9,90.2
147,Student_147,III,Male,Maths,93.3,84.5
148,Student_148,I,Female,Maths,58.1,71.7
149,Student_149,II,Male,Maths,87.0,68.7
150,Student_150,III,Male,Maths,41.0,61.2
151,Student_151,I,Other,Maths,47.8,36.9
152,Student_152,II,Other,Maths,52.8,39.3
153,Student_153,III,Female,Maths,12.8,22.6
154,Student_154,I,Other,Maths,100.0,87.5
155,Student_155,II,Female,Maths,45.4,46.8
156,Student_156,III,Male,Maths,75.8,77.5
157,Student_157,I,Other,Maths,35.6,26.5
158,Student_158,II,Male,Maths,39.8,38.4
159,Student_159,III,Other,Maths,53.4,58.1
160,Student_160,I,Female,Maths,82.7,86.0
161,Student_161,II,Male,Maths,51.0,48.9
162,Student_162,III,Male,Maths,80.1,86.0
163,Student_163,I,Other,Maths,43.3,37.8
164,Student_164,II,Other,Maths,67.0,71.9
165,Student_165,III,Female,Maths,39.0,43.4
166,Student_166,I,Male,Maths,54.1,58.3
167,Student_167,II,Other,Maths,18.0,37.8
168,Student_168,III,Other,Maths,29.6,32.4
169,Student_169,I,Female,Maths,70.4,66.2
170,Student_170,II,Female,Maths,95.2,78.4
171,Student_171,III,Other,Maths,54.8,39.6
172,Student_172,I,Female,Maths,86.9,86.7
173,Student_173,II,Male,Maths,80.7,80.8
174,Student_174,III,Male,Maths,43.7,50.5
175,Student_175,I,Female,Maths,55.8,48.2
176,Student_176,II,Other,Maths,50.8,63.4
177,Student_177,III,Other,Maths,77.3,86.1
178,Student_178,I,Female,Maths,48.0,63.1
179,Student_179,II,Male,Maths,35.8,36.9
180,Student_180,III,Female,Maths,45.7,43.7
181,Student_181,I,Male,Maths,38.0,49.5
182,Student_182,II,Female,Maths,49.9,59.5
183,Student_183,III,Female,Maths,78.7,73.0
184,Student_184,I,Other,Maths,79.1,81.5
185,Student_185,II,Other,Maths,50.3,59.7
186,Student_186,III,Other,Maths,32.5,38.6
187,Student_187,I,Male,Maths,51.7,44.7
188,Student_188,II,Other,Maths,64.3,58.4
189,Student_189,III,Male,Maths,70.4,71.8
190,Student_190,I,Female,Maths,65.5,76.1
191,Student_191,II,Other,Maths,73.9,86.6
192,Student_192,III,Other,Maths,7.6,25.5
193,Student_193,I,Female,Maths,71.1,80.1
194,Student_194,II,Male,Maths,90.4,84.1
195,Student_195,III,Female,Maths,24.7,32.5
196,Student_196,I,Other,Maths,82.8,93.0
197,Student_197,II,Female,Maths,62.6,71.9
198,Student_198,III,Female,Maths,86.3,90.7
199,Student_199,I,Female,Maths,71.3,60.9
200,Student_200,II,Female,Maths,45.7,54.9
201,Student_201,III,Male,Maths,84.0,90.0
202,Student_202,I,Other,Maths,38.3,50.1
203,Student_203,II,Male,Maths,100.0,100.0
204,Student_204,III,Other,Maths,41.8,42.2
205,Student_205,I,Male,Maths,45.8,59.9
206,Student_206,II,Female,Maths,72.1,82.7
207,Student_207,III,Female,Maths,84.1,80.2
208,Student_208,I,Female,Maths,68.6,57.8
209,Student_209,II,Female,Maths,58.9,65.2
210,Student_210,III,Other,Maths,89.1,82.5
211,Student_211,I,Male,Maths,79.9,76.2
212,Student_212,II,Other,Maths,84.3,65.5
213,Student_213,III,Other,Maths,52.9,62.8
214,Student_214,I,Other,Maths,79.3,61.4
215,Student_215,II,Male,Maths,90.9,83.2
216,Student_216,III,Male,Maths,58.4,67.5
217,Student_217,I,Female,Maths,82.4,75.7
218,Student_218,II,Male,Maths,35.3,43.0
219,Student_219,III,Other,Maths,54.4,52.1
220,Student_220,I,Other,Maths,53.2,47.3
221,Student_221,II,Female,Maths,55.3,61.5
222,Student_222,III,Other,Maths,100.0,82.4
223,Student_223,I,Male,Maths,99.0,99.1
224,Student_224,II,Other,Maths,69.6,69.1
225,Student_225,III,Male,Maths,85.5,77.4
226,Student_226,I,Other,Maths,93.0,85.6
227,Student_227,II,Female,Maths,72.0,63.1
228,Student_228,III,Female,Maths,87.3,80.2
229,Student_229,I,Male,Maths,76.3,54.8
230,Student_230,II,Female,Maths,47.1,44.6
231,Student_231,III,Other,Maths,99.2,97.2
232,Student_232,I,Other,Maths,83.9,70.5
233,Student_233,II,Female,Maths,39.8,39.7
234,Student_234,III,Male,Maths,41.0,52.6
235,Student_235,I,Female,Maths,90.5,95.5
236,Student_236,II,Other,Maths,34.5,39.4
237,Student_237,III,Male,Maths,100.0,87.6
238,Student_238,I,Other,Maths,92.3,100.0
239,Student_239,II,Other,Maths,51.8,63.7
240,Student_240,III,Other,Maths,47.9,39.2
241,Student_241,I,Female,Maths,56.6,36.1
242,Student_242,II,Male,Maths,14.4,28.6
243,Student_243,III,Male,Maths,85.1,64.0
244,Student_244,I,Other,Maths,72.7,82.2
245,Student_245,II,Female,Maths,77.5,95.8
246,Student_246,III,Male,Maths,29.1,44.0
247,Student_247,I,Other,Maths,69.7,69.1
248,Student_248,II,Male,Maths,66.0,70.3
249,Student_249,III,Other,Maths,39.1,40.0
250,Student_250,I,Female,Maths,53.7,59.2
251,Student_251,II,Female,Maths,74.3,87.5
252,Student_252,III,Male,Maths,55.5,48.8
253,Student_253,I,Male,Maths,27.0,32.5
254,Student_254,II,Other,Maths,74.5,63.2
255,Student_255,III,Female,Maths,45.0,38.2
256,Student_256,I,Other,Maths,74.0,77.6
257,Student_257,II,Other,Maths,82.6,87.9
258,Student_258,III,Male,Maths,13.5,34.9
259,Student_259,I,Female,Maths,66.7,58.4
260,Student_260,II,Other,Maths,95.2,93.4
261,Student_261,III,Female,Maths,80.5,75.8
262,Student_262,I,Female,Maths,58.2,67.4
263,Student_263,II,Female,Maths,86.2,86.1
264,Student_264,III,Other,Maths,23.7,36.2
265,Student_265,I,Other,Maths,65.3,75.7
266,Student_266,II,Other,Maths,68.4,55.3
267,Student_267,III,Female,Maths,48.2,51.8
268,Student_268,I,Female,Maths,71.0,72.6
269,Student_269,II,Female,Maths,54.6,69.4
270,Student_270,III,Male,Maths,65.1,74.9
271,Student_271,I,Other,Maths,18.7,30.2
272,Student_272,II,Male,Maths,96.9,100.0
273,Student_273,III,Other,Maths,52.3,58.8
274,Student_274,I,Female,Maths,58.8,62.3
275,Student_275,II,Other,Maths,54.4,49.2
276,Student_276,III,Other,Maths,83.2,69.0
277,Student_277,I,Female,Maths,64.8,60.3
278,Student_278,II,Female,Maths,47.6,58.1
279,Student_279,III,Female,Maths,57.5,70.7
280,Student_280,I,Female,Maths,46.4,56.5
281,Student_281,II,Male,Maths,77.3,75.9
282,Student_282,III,Male,Maths,69.4,59.3
283,Student_283,I,Other,Maths,85.8,76.3
284,Student_284,II,Other,Maths,48.7,28.0
285,Student_285,III,Male,Maths,45.7,46.8
286,Student_286,I,Male,Maths,31.0,36.4
287,Student_287,II,Female,Maths,52.0,52.6
288,Student_288,III,Other,Maths,51.0,69.3
289,Student_289,I,Other,Maths,53.0,53.1
290,Student_290,II,Other,Maths,27.4,31.0
291,Student_291,III,Male,Maths,30.1,42.2
292,Student_292,I,Male,Maths,77.4,64.6
293,Student_293,II,Female,Maths,74.9,82.4
294,Student_294,III,Male,Maths,50.9,55.9
295,Student_295,I,Female,Maths,72.7,88.3
296,Student_296,II,Female,Maths,49.5,48.0
297,Student_297,III,Other,Maths,92.9,73.4
298,Student_298,I,Male,Maths,50.5,48.5
299,Student_299,II,Other,Maths,86.0,75.1
300,Student_300,III,Other,Maths,50.1,56.7
301,Student_301,I,Other,Maths,97.5,90.9
302,Student_302,II,Other,Maths,60.0,67.6
303,Student_303,III,Other,Maths,49.6,60.2
304,Student_304,I,Male,Maths,77.5,73.2
305,Student_305,II,Female,Maths,78.4,64.3
306,Student_306,III,Female,Maths,37.1,45.8
307,Student_307,I,Other,Maths,99.7,96.6
308,Student_308,II,Male,Maths,55.3,75.0
309,Student_309,III,Female,Maths,28.2,39.1
310,Student_310,I,Male,Maths,76.3,50.3
311,Student_311,II,Male,Maths,43.4,48.2
312,Student_312,III,Other,Maths,85.3,91.6
313,Student_313,I,Male,Maths,58.2,51.9
314,Student_314,II,Other,Maths,67.0,77.7
315,Student_315,III,Other,Maths,53.7,47.6
316,Student_316,I,Other,Maths,100.0,100.0
317,Student_317,II,Male,Maths,47.1,50.5
318,Student_318,III,Male,Maths,65.0,50.5
319,Student_319,I,Female,Maths,65.5,81.4
320,Student_320,II,Female,Maths,70.7,74.5
321,Student_321,III,Other,Maths,82.4,69.2
322,Student_322,I,Female,Maths,100.0,90.7
323,Student_323,II,Male,Maths,30.4,35.1
324,Student_324,III,Other,Maths,27.3,34.1
325,Student_325,I,Other,Maths,58.1,55.8
326,Student_326,II,Female,Maths,26.4,46.2
327,Student_327,III,Other,Maths,68.2,68.1
328,Student_328,I,Other,Maths,63.5,60.8
329,Student_329,II,Female,Maths,56.4,64.1
330,Student_330,III,Male,Maths,95.9,96.0
331,Student_331,I,Female,Maths,55.8,55.8
332,Student_332,II,Female,Maths,30.2,45.1
333,Student_333,III,Other,Maths,60.9,61.6
334,Student_334,I,Other,Maths,68.4,82.6
335,Student_335,II,Female,Maths,62.8,69.4
336,Student_336,III,Female,Maths,74.4,79.6
337,Student_337,I,Female,Maths,92.7,77.6
338,Student_338,II,Female,Maths,85.0,76.4
339,Student_339,III,Female,Maths,97.2,81.9
340,Student_340,I,Female,Maths,45.7,51.8
341,Student_341,II,Female,Maths,97.1,100.0
342,Student_342,III,Other,Maths,65.5,62.9
343,Student_343,I,Male,Maths,52.9,51.9
344,Student_344,II,Male,Maths,59.1,47.9
345,Student_345,III,Other,Maths,91.5,84.7
346,Student_346,I,Other,Maths,65.0,55.8
347,Student_347,II,Female,Maths,87.8,90.6
348,Student_348,III,Female,Maths,100.0,99.6
349,Student_349,I,Female,Maths,48.2,53.1
350,Student_350,II,Female,Maths,64.0,40.1
351,Student_351,III,Male,Maths,41.3,44.4
352,Student_352,I,Female,Maths,66.5,65.1
353,Student_353,II,Male,Maths,66.6,58.9
354,Student_354,III,Male,Maths,73.9,49.9
355,Student_355,I,Female,Maths,88.3,77.6
356,Student_356,II,Other,Maths,62.3,70.8
357,Student_357,III,Male,Maths,76.6,65.9
358,Student_358,I,Other,Maths,24.5,40.4
359,Student_359,II,Female,Maths,55.1,60.3
360,Student_360,III,Other,Maths,70.7,78.5
361,Student_361,I,Female,Maths,63.3,67.5
362,Student_362,II,Other,Maths,47.8,40.0
363,Student_363,III,Female,Maths,80.4,69.4
364,Student_364,I,Other,Maths,90.7,78.2
365,Student_365,II,Female,Maths,74.6,79.7
366,Student_366,III,Female,Maths,35.7,50.2
367,Student_367,I,Female,Maths,67.2,62.3
368,Student_368,II,Other,Maths,85.1,82.9
369,Student_369,III,Other,Maths,67.1,85.1
370,Student_370,I,Male,Maths,71.9,75.5
371,Student_371,II,Other,Maths,50.7,61.0
372,Student_372,III,Other,Maths,11.7,33.1
373,Student_373,I,Other,Maths,66.8,65.3
374,Student_374,II,Female,Maths,75.7,82.2
375,Student_375,III,Female,Maths,31.5,37.8
376,Student_376,I,Other,Maths,41.5,40.8
377,Student_377,II,Female,Maths,61.0,80.5
378,Student_378,III,Female,Maths,63.6,74.8
379,Student_379,I,Female,Maths,38.7,36.3
380,Student_380,II,Female,Maths,100.0,100.0
381,Student_381,III,Male,Maths,70.5,57.0
382,Student_382,I,Male,Maths,85.2,83.1
383,Student_383,II,Male,Maths,89.5,83.7
384,Student_384,III,Female,Maths,83.8,82.9
385,Student_385,I,Female,Maths,91.7,83.0
386,Student_386,II,Female,Maths,81.9,93.4
387,Student_387,III,Other,Maths,86.6,93.7
388,Student_388,I,Male,Maths,58.1,59.2
389,Student_389,II,Female,Maths,51.9,52.0
390,Student_390,III,Male,Maths,33.2,45.7
391,Student_391,I,Male,Maths,27.5,43.5
392,Student_392,II,Female,Maths,71.6,80.8
393,Student_393,III,Male,Maths,40.5,47.9
394,Student_394,I,Male,Maths,97.5,94.3
395,Student_395,II,Other,Maths,14.0,34.9
396,Student_396,III,Other,Maths,65.3,42.4
397,Student_397,I,Male,Maths,41.5,50.4
398,Student_398,II,Male,Maths,15.7,32.1
399,Student_399,III,Male,Maths,30.1,43.8
400,Student_400,I,Female,Maths,60.0,61.5
401,Student_401,II,Other,Maths,45.4,55.0
402,Student_402,III,Male,Maths,78.6,80.6
403,Student_403,I,Male,Maths,51.9,56.1
404,Student_404,II,Female,Maths,89.1,88.2
405,Student_405,III,Other,Maths,74.9,76.2
406,Student_406,I,Female,Maths,52.6,48.6
407,Student_407,II,Other,Maths,48.3,31.9
408,Student_408,III,Female,Maths,77.4,81.6
409,Student_409,I,Male,Maths,69.3,79.9
410,Student_410,II,Female,Maths,50.1,41.0
411,Student_411,III,Other,Maths,62.1,58.3
412,Student_412,I,Female,Maths,60.0,61.2
413,Student_413,II,Male,Maths,40.0,38.3
414,Student_414,III,Male,Maths,39.3,44.9
415,Student_415,I,Female,Maths,94.2,80.8
416,Student_416,II,Female,Maths,64.4,55.1
417,Student_417,III,Female,Maths,72.9,70.4
418,Student_418,I,Female,Maths,34.3,37.6
419,Student_419,II,Female,Maths,28.2,45.9
420,Student_420,III,Female,Maths,66.5,58.8
421,Student_421,I,Male,Maths,66.7,65.9
422,Student_422,II,Female,Maths,90.1,80.4
423,Student_423,III,Female,Maths,67.3,81.6
424,Student_424,I,Other,Maths,39.7,41.3
425,Student_425,II,Other,Maths,32.0,34.5
426,Student_426,III,Female,Maths,36.0,54.8
427,Student_427,I,Male,Maths,58.8,73.9
428,Student_428,II,Male,Maths,60.8,58.1
429,Student_429,III,Male,Maths,100.0,79.1
430,Student_430,I,Male,Maths,66.8,54.0
431,Student_431,II,Other,Maths,42.2,60.4
432,Student_432,III,Male,Maths,87.3,85.4
433,Student_433,I,Male,Maths,69.8,76.9
434,Student_434,II,Female,Maths,63.2,56.7
435,Student_435,III,Male,Maths,53.8,52.6
436,Student_436,I,Other,Maths,52.9,59.2
437,Student_437,II,Other,Maths,100.0,100.0
438,Student_438,III,Other,Maths,41.1,40.5
439,Student_439,I,Female,Maths,84.2,81.7
440,Student_440,II,Female,Maths,86.6,86.6
441,Student_441,III,Female,Maths,67.9,67.8
442,Student_442,I,Male,Maths,62.7,61.8
443,Student_443,II,Female,Maths,64.0,50.8
444,Student_444,III,Other,Maths,90.8,81.9
445,Student_445,I,Male,Maths,87.5,75.7
446,Student_446,II,Male,Maths,60.3,80.6
447,Student_447,III,Female,Maths,46.2,41.9
448,Student_448,I,Female,Maths,81.0,91.5
449,Student_449,II,Other,Maths,43.2,41.3
450,Student_450,III,Other,Maths,89.3,77.5
451,Student_451,I,Other,Maths,26.2,37.0
452,Student_452,II,Female,Maths,52.3,50.0
453,Student_453,III,Other,Maths,69.8,75.3
454,Student_454,I,Male,Maths,66.8,56.7
455,Student_455,II,Female,Maths,96.0,93.9
456,Student_456,III,Male,Maths,46.3,49.5
457,Student_457,I,Other,Maths,74.4,76.9
458,Student_458,II,Female,Maths,64.7,61.8
459,Student_459,III,Female,Maths,49.8,32.5
460,Student_460,I,Male,Maths,51.1,48.5
461,Student_461,II,Other,Maths,91.9,86.9
462,Student_462,III,Female,Maths,90.3,80.6
463,Student_463,I,Other,Maths,35.2,36.9
464,Student_464,II,Female,Maths,52.0,61.9
465,Student_465,III,Male,Maths,63.5,62.3
466,Student_466,I,Female,Maths,81.0,71.9
467,Student_467,II,Female,Maths,79.1,79.9
468,Student_468,III,Male,Maths,81.0,91.4
469,Student_469,I,Male,Maths,43.7,36.9
470,Student_470,II,Other,Maths,68.8,51.0
471,Student_471,III,Female,Maths,34.9,34.3
472,Student_472,I,Female,Maths,67.0,75.0
473,Student_473,II,Female,Maths,93.4,82.8
474,Student_474,III,Other,Maths,45.6,36.4
475,Student_475,I,Male,Maths,82.1,76.2
476,Student_476,II,Female,Maths,79.9,77.4
477,Student_477,III,Male,Maths,67.8,66.0
478,Student_478,I,Male,Maths,45.8,30.2
479,Student_479,II,Male,Maths,91.1,83.8
480,Student_480,III,Female,Maths,65.4,65.9
481,Student_481,I,Female,Maths,52.9,48.8
482,Student_482,II,Female,Maths,45.3,46.8
483,Student_483,III,Other,Maths,43.8,45.8
484,Student_484,I,Female,Maths,63.9,66.2
485,Student_485,II,Female,Maths,55.8,48.6
486,Student_486,III,Other,Maths,52.4,54.4
487,Student_487,I,Female,Maths,60.2,60.6
488,Student_488,II,Other,Maths,81.6,79.3
489,Student_489,III,Male,Maths,76.1,68.2
490,Student_490,I,Other,Maths,73.7,61.1
491,Student_491,II,Other,Maths,53.8,60.0
492,Student_492,III,Female,Maths,88.9,83.4
493,Student_493,I,Male,Maths,100.0,98.2
494,Student_494,II,Female,Maths,100.0,98.2
495,Student_495,III,Other,Maths,43.1,60.2
496,Student_496,I,Female,Maths,50.4,50.7
497,Student_497,II,Male,Maths,56.9,54.9
498,Student_498,III,Male,Maths,98.3,85.3
499,Student_499,I,Female,Maths,83.1,70.8
500,Student_500,II,Other,Maths,63.6,57.1
501,Student_501,III,Female,Maths,98.3,74.2
502,Student_502,I,Other,Maths,69.0,63.4
503,Student_503,II,Other,Maths,81.4,86.1
504,Student_504,III,Male,Maths,48.0,38.4
505,Student_505,I,Male,Maths,59.9,61.2
506,Student_506,II,Other,Maths,46.3,42.0
507,Student_507,III,Female,Maths,37.8,46.9
508,Student_508,I,Other,Maths,33.3,38.5
509,Student_509,II,Other,Maths,68.6,83.3
510,Student_510,III,Female,Maths,80.6,80.3
511,Student_511,I,Male,Maths,60.1,66.6
512,Student_512,II,Other,Maths,67.7,44.8
513,Student_513,III,Female,Maths,91.6,79.2
514,Student_514,I,Male,Maths,82.0,86.5
515,Student_515,II,Female,Maths,60.8,68.3
516,Student_516,III,Male,Maths,65.2,72.1
517,Student_517,I,Male,Maths,84.0,92.0
518,Student_518,II,Female,Maths,54.6,63.9
519,Student_519,III,Female,Maths,37.5,38.1
520,Student_520,I,Female,Maths,52.9,59.4
521,Student_521,II,Other,Maths,29.5,39.9
522,Student_522,III,Female,Maths,95.1,82.5
523,Student_523,I,Other,Maths,65.5,71.0
524,Student_524,II,Other,Maths,85.5,91.1
525,Student_525,III,Other,Maths,42.6,26.1
526,Student_526,I,Male,Maths,81.0,62.4
527,Student_527,II,Other,Maths,87.8,78.7
528,Student_528,III,Male,Maths,86.8,84.5
529,Student_529,I,Female,Maths,66.4,73.5
530,Student_530,II,Female,Maths,73.2,62.6
531,Student_531,III,Male,Maths,79.7,84.9
532,Student_532,I,Male,Maths,77.9,92.2
533,Student_533,II,Other,Maths,95.8,100.0
534,Student_534,III,Other,Maths,60.0,71.1
535,Student_535,I,Male,Maths,77.5,85.6
536,Student_536,II,Female,Maths,56.8,42.8
537,Student_537,III,Male,Maths,55.1,40.5
538,Student_538,I,Other,Maths,29.6,36.6
539,Student_539,II,Other,Maths,72.5,79.2
540,Student_540,III,Other,Maths,86.0,94.6
541,Student_541,I,Female,Maths,86.2,68.7
542,Student_542,II,Male,Maths,85.1,69.6
543,Student_543,III,Male,Maths,55.8,62.3
544,Student_544,I,Male,Maths,81.2,70.2
545,Student_545,II,Other,Maths,76.9,74.3
546,Student_546,III,Male,Maths,92.5,88.2
547,Student_547,I,Other,Maths,73.7,67.4
548,Student_548,II,Other,Maths,80.0,82.1
549,Student_549,III,Male,Maths,91.3,94.3
550,Student_550,I,Other,Maths,82.5,65.9
551,Student_551,II,Other,Maths,68.2,68.0
552,Student_552,III,Female,Maths,77.8,73.7
553,Student_553,I,Female,Maths,100.0,82.5
554,Student_554,II,Male,Maths,60.3,54.9
555,Student_555,III,Female,Maths,90.9,89.8
556,Student_556,I,Other,Maths,64.5,68.3
557,Student_557,II,Female,Maths,20.3,27.3
558,Student_558,III,Male,Maths,66.7,63.8
559,Student_559,I,Female,Maths,40.5,46.5
560,Student_560,II,Other,Maths,41.6,44.4
561,Student_561,III,Male,Maths,44.1,62.0
562,Student_562,I,Other,Maths,74.1,69.5
563,Student_563,II,Male,Maths,60.8,68.7
564,Student_564,III,Male,Maths,81.1,61.3
565,Student_565,I,Female,Maths,52.6,60.3
566,Student_566,II,Female,Maths,57.3,60.6
567,Student_567,III,Other,Maths,76.9,77.2
568,Student_568,I,Male,Maths,85.4,89.1
569,Student_569,II,Male,Maths,60.5,78.1
570,Student_570,III,Female,Maths,47.5,46.6
571,Student_571,I,Other,Maths,100.0,97.3
572,Student_572,II,Other,Maths,69.0,71.8
573,Student_573,III,Female,Maths,49.9,52.0
574,Student_574,I,Other,Maths,44.1,47.1
575,Student_575,II,Other,Maths,47.8,55.7
576,Student_576,III,Other,Maths,64.7,70.6
577,Student_577,I,Other,Maths,72.0,56.5
578,Student_578,II,Female,Maths,55.0,50.1
579,Student_579,III,Other,Maths,63.1,54.5
580,Student_580,I,Male,Maths,54.7,59.6
