Adm_No,Name,Gender,Class
415,Student_415,Female,I
416,Student_416,Female,II
417,Student_417,Female,III
418,Student_418,Female,I
419,Student_419,Female,II
420,Student_420,Female,III
421,Student_421,Male,I
422,Student_422,Female,II
423,Student_423,Female,III
424,Student_424,Other,I
425,Student_425,Other,II
426,Student_426,Female,III
427,Student_427,Male,I
428,Student_428,Male,II
429,Student_429,Male,III
430,Student_430,Male,I
431,Student_431,Other,II
432,Student_432,Male,III
433,Student_433,Male,I
434,Student_434,Female,II
435,Student_435,Male,III
436,Student_436,Other,I
437,Student_437,Other,II
438,Student_438,Other,III
439,Student_439,Female,I
440,Student_440,Female,II
441,Student_441,Female,III
442,Student_442,Male,I
443,Student_443,Female,II
444,Student_444,Other,III
445,Student_445,Male,I
446,Student_446,Male,II
447,Student_447,Female,III
448,Student_448,Female,I
449,Student_449,Other,II
450,Student_450,Other,III
451,Student_451,Other,I
452,Student_452,Female,II
453,Student_453,Other,III
454,Student_454,Male,I
455,Student_455,Female,II
456,Student_456,Male,III
457,Student_457,Other,I
458,Student_458,Female,II
459,Student_459,Female,III
460,Student_460,Male,I
461,Student_461,Other,II
462,Student_462,Female,III
463,Student_463,Other,I
464,Student_464,Female,II
465,Student_465,Male,III
466,Student_466,Female,I
467,Student_467,Female,II
468,Student_468,Male,III
469,Student_469,Male,I
470,Student_470,Other,II
471,Student_471,Female,III
472,Student_472,Female,I
473,Student_473,Female,II
474,Student_474,Other,III
475,Student_475,Male,I
476,Student_476,Female,II
477,Student_477,Male,III
478,Student_478,Male,I
479,Student_479,Male,II
480,Student_480,Female,III
481,Student_481,Female,I
482,Student_482,Female,II
483,Student_483,Other,III
484,Student_484,Female,I
485,Student_485,Female,II
486,Student_486,Other,III
487,Student_487,Female,I
488,Student_488,Other,II
489,Student_489,Male,III
490,Student_490,Other,I
491,Student_491,Other,II
492,Student_492,Female,III
493,Student_493,Male,I
494,Student_494,Female,II
495,Student_495,Other,III
496,Student_496,Female,I
497,Student_497,Male,II
498,Student_498,Male,III
499,Student_499,Female,I
500,Student_500,Other,II
501,Student_501,Female,III
502,Student_502,Other,I
503,Student_503,Other,II
504,Student_504,Male,III
505,Student_505,Male,I
506,Student_506,Other,II
507,Student_507,Female,III
508,Student_508,Other,I
509,Student_509,Other,II
510,Student_510,Female,III
511,Student_511,Male,I
512,Student_512,Other,II
513,Student_513,Female,III
514,Student_514,Male,I
515,Student_515,Female,II
516,Student_516,Male,III
517,Student_517,Male,I
518,Student_518,Female,II
519,Student_519,Female,III
520,Student_520,Female,I
521,Student_521,Other,II
522,Student_522,Female,III
523,Student_523,Other,I
524,Student_524,Other,II
525,Student_525,Other,III
526,Student_526,Male,I
527,Student_527,Other,II
528,Student_528,Male,III
529,Student_529,Female,I
530,Student_530,Female,II
531,Student_531,Male,III
532,Student_532,Male,I
533,Student_533,Other,II
534,Student_534,Other,III
535,Student_535,Male,I
536,Student_536,Female,II
537,Student_537,Male,III
538,Student_538,Other,I
539,Student_539,Other,II
540,Student_540,Other,III
541,Student_541,Female,I
542,Student_542,Male,II
543,Student_543,Male,III
544,Student_544,Male,I
545,Student_545,Other,II
546,Student_546,Male,III
547,Student_547,Other,I
548,Student_548,Other,II
549,Student_549,Male,III
550,Student_550,Other,I
551,Student_551,Other,II
552,Student_552,Female,III
553,Student_553,Female,I
554,Student_554,Male,II
555,Student_555,Female,III
556,Student_556,Other,I
557,Student_557,Female,II
558,Student_558,Male,III
559,Student_559,Female,I
560,Student_560,Other,II
561,Student_561,Male,III
562,Student_562,Other,I
563,Student_563,Male,II
564,Student_564,Male,III
565,Student_565,Female,I
566,Student_566,Female,II
567,Student_567,Other,III
568,Student_568,Male,I
569,Student_569,Male,II
570,Student_570,Female,III
571,Student_571,Other,I
572,Student_572,Other,II
573,Student_573,Female,III
574,Student_574,Other,I
575,Student_575,Other,II
576,Student_576,Other,III
577,Student_577,Other,I
578,Student_578,Female,II
579,Student_579,Other,III
580,Student_580,Male,I
581,Student_581,Female,II
582,Student_582,Other,III
583,Student_583,Male,I
584,Student_584,Female,II
585,Student_585,Other,III
586,Student_586,Male,I
587,Student_587,Other,II
588,Student_588,Female,III
589,Student_589,Other,I
590,Student_590,Female,II
591,Student_591,Male,III
592,Student_592,Other,I
593,Student_593,Male,II
594,Student_594,Male,III
595,Student_595,Other,I
596,Student_596,Other,II
597,Student_597,Male,III
598,Student_598,Female,I
599,Student_599,Male,II
600,Student_600,Male,III
601,Student_601,Other,I
602,Student_602,Male,II
603,Student_603,Female,III
604,Student_604,Other,I
605,Student_605,Other,II
606,Student_606,Female,III
607,Student_607,Other,I
608,Student_608,Female,II
609,Student_609,Male,III
610,Student_610,Male,I
611,Student_611,Other,II
612,Student_612,Other,III
613,Student_613,Female,I
614,Student_614,Other,II
615,Student_615,Other,III
616,Student_616,Female,I
617,Student_617,Male,II
618,Student_618,Other,III
619,Student_619,Other,I
620,Student_620,Male,II
621,Student_621,Other,III
622,Student_622,Male,I
623,Student_623,Other,II
624,Student_624,Female,III
625,Student_625,Other,I
626,Student_626,Other,II
627,Student_627,Female,III
628,Student_628,Male,I
629,Student_629,Other,II
630,Student_630,Female,III
631,Student_631,Female,I
632,Student_632,Male,II
633,Student_633,Male,III
634,Student_634,Female,I
635,Student_635,Female,II
636,Student_636,Female,III
637,Student_637,Female,I
638,Student_638,Other,II
639,Student_639,Other,III
640,Student_640,Female,I
641,Student_641,Other,II
642,Student_642,Female,III
643,Student_643,Female,I
644,Student_644,Female,II
645,Student_645,Other,III
646,Student_646,Male,I
647,Student_647,Female,II
648,Student_648,Male,III
649,Student_649,Female,I
650,Student_650,Other,II
651,Student_651,Female,III
652,Student_652,Male,I
653,Student_653,Other,II
654,Student_654,Other,III
655,Student_655,Female,I
656,Student_656,Male,II
657,Student_657,Female,III
658,Student_658,Other,I
659,Student_659,Female,II
660,Student_660,Male,III
661,Student_661,Male,I
662,Student_662,Other,II
663,Student_663,Female,III
664,Student_664,Other,I
665,Student_665,Female,II
666,Student_666,Male,III
667,Student_667,Female,I
668,Student_668,Other,II
669,Student_669,Female,III
670,Student_670,Female,I
671,Student_671,Female,II
672,Student_672,Female,III
673,Student_673,Male,I
674,Student_674,Male,II
675,Student_675,Male,III
676,Student_676,Other,I
677,Student_677,Female,II
678,Student_678,Other,III
679,Student_679,Male,I
680,Student_680,Male,II
681,Student_681,Other,III
682,Student_682,Other,I
683,Student_683,Female,II
684,Student_684,Male,III
685,Student_685,Other,I
686,Student_686,Male,II
687,Student_687,Female,III
688,Student_688,Female,I
689,Student_689,Other,II
690,Student_690,Male,III
691,Student_691,Male,I
692,Student_692,Male,II
693,Student_693,Male,III
694,Student_694,Female,I
695,Student_695,Other,II
696,Student_696,Male,III
697,Student_697,Female,I
698,Student_698,Male,II
699,Student_699,Male,III
700,Student_700,Other,I
701,Student_701,Male,II
702,Student_702,Female,III
703,Student_703,Other,I
704,Student_704,Other,II
705,Student_705,Male,III
706,Student_706,Female,I
707,Student_707,Other,II
708,Student_708,Female,III
709,Student_709,Male,I
710,Student_710,Male,II
711,Student_711,Other,III
712,Student_712,Other,I
713,Student_713,Male,II
714,Student_714,Male,III
715,Student_715,Male,I
716,Student_716,Male,II
717,Student_717,Other,III
718,Student_718,Other,I
719,Student_719,Male,II
720,Student_720,Other,III
721,Student_721,Other,I
722,Student_722,Female,II
723,Student_723,Other,III
724,Student_724,Male,I
725,Student_725,Other,II
726,Student_726,Male,III
727,Student_727,Other,I
728,Student_728,Female,II
729,Student_729,Male,III
730,Student_730,Other,I
731,Student_731,Other,II
732,Student_732,Female,III
733,Student_733,Male,I
734,Student_734,Male,II
735,Student_735,Other,III
736,Student_736,Male,I
737,Student_737,Other,II
738,Student_738,Female,III
739,Student_739,Other,I
740,Student_740,Other,II
741,Student_741,Other,III
742,Student_742,Male,I
743,Student_743,Other,II
744,Student_744,Male,III
745,Student_745,Other,I
746,Student_746,Male,II
747,Student_747,Other,III
748,Student_748,Male,I
749,Student_749,Female,II
750,Student_750,Female,III
751,Student_751,Other,I
752,Student_752,Male,II
753,Student_753,Male,III
754,Student_754,Female,I
755,Student_755,Male,II
756,Student_756,Other,III
757,Student_757,Male,I
758,Student_758,Other,II
759,Student_759,Female,III
760,Student_760,Other,I
761,Student_761,Male,II
762,Student_762,Male,III
763,Student_763,Female,I
764,Student_764,Male,II
765,Student_765,Male,III
766,Student_766,Male,I
767,Student_767,Other,II
768,Student_768,Other,III
769,Student_769,Male,I
770,Student_770,Male,II
771,Student_771,Female,III
772,Student_772,Female,I
773,Student_773,Other,II
774,Student_774,Male,III
775,Student_775,Female,I
776,Student_776,Male,II
777,Student_777,Male,III
778,Student_778,Other,I
779,Student_779,Female,II
780,Student_780,Female,III
781,Student_781,Male,I
782,Student_782,Female,II
783,Student_783,Female,III
784,Student_784,Other,I
785,Student_785,Female,II
786,Student_786,Male,III
787,Student_787,Other,I
788,Student_788,Male,II
789,Student_789,Other,III
790,Student_790,Female,I
791,Student_791,Other,II
792,Student_792,Female,III
793,Student_793,Female,I
794,Student_794,Female,II
795,Student_795,Male,III
796,Student_796,Male,I
797,Student_797,Other,II
798,Student_798,Other,III
799,Student_799,Other,I
800,Student_800,Male,II
801,Student_801,Female,III
802,Student_802,Female,I
803,Student_803,Other,II
804,Student_804,Female,III
805,Student_805,Other,I
806,Student_806,Other,II
807,Student_807,Female,III
808,Student_808,Female,I
809,Student_809,Female,II
810,Student_810,Other,III
811,Student_811,Female,I
812,Student_812,Male,II
813,Student_813,Female,III
814,Student_814,Female,I
815,Student_815,Other,II
816,Student_816,Other,III
817,Student_817,Male,I
818,Student_818,Female,II
819,Student_819,Male,III
820,Student_820,Female,I
821,Student_821,Other,II
822,Student_822,Other,III
823,Student_823,Male,I
824,Student_824,Male,II
825,Student_825,Other,III
826,Student_826,Female,I
827,Student_827,Female,II
828,Student_828,Other,III
829,Student_829,Other,I
830,Student_830,Other,II
831,Student_831,Other,III
832,Student_832,Other,I
833,Student_833,Other,II
834,Student_834,Other,III
835,Student_835,Female,I
836,Student_836,Male,II
837,Student_837,Other,III
838,Student_838,Other,I
839,Student_839,Male,II
840,Student_840,Female,III
841,Student_841,Female,I
842,Student_842,Female,II
843,Student_843,Other,III
844,Student_844,Female,I
845,Student_845,Other,II
846,Student_846,Other,III
847,Student_847,Other,I
848,Student_848,Female,II
849,Student_849,Male,III
850,Student_850,Other,I
851,Student_851,Male,II
852,Student_852,Male,III
853,Student_853,Male,I
854,Student_854,Male,II
855,Student_855,Other,III
856,Student_856,Female,I
857,Student_857,Male,II
858,Student_858,Male,III
859,Student_859,Male,I
860,Student_860,Other,II
861,Student_861,Other,III
862,Student_862,Male,I
863,Student_863,Male,II
864,Student_864,Female,III
865,Student_865,Other,I
866,Student_866,Male,II
867,Student_867,Other,III
868,Student_868,Male,I
869,Student_869,Male,II
870,Student_870,Female,III
871,Student_871,Male,I
872,Student_872,Male,II
873,Student_873,Male,III
874,Student_874,Male,I
875,Student_875,Other,II
876,Student_876,Male,III
877,Student_877,Male,I
878,Student_878,Male,II
879,Student_879,Male,III
880,Student_880,Female,I
881,Student_881,Other,II
882,Student_882,Male,III
883,Student_883,Other,I
884,Student_884,Female,II
885,Student_885,Male,III
886,Student_886,Other,I
887,Student_887,Male,II
888,Student_888,Female,III
889,Student_889,Female,I
890,Student_890,Female,II
891,Student_891,Male,III
892,Student_892,Male,I
893,Student_893,Other,II
894,Student_894,Other,III
895,Student_895,Male,I
896,Student_896,Female,II
897,Student_897,Other,III
898,Student_898,Male,I
899,Student_899,Female,II
900,Student_900,Other,III
901,Student_901,Other,I
902,Student_902,Female,II
903,Student_903,Other,III
904,Student_904,Female,I
905,Student_905,Male,II
906,Student_906,Other,III
907,Student_907,Male,I
908,Student_908,Male,II
909,Student_909,Female,III
910,Student_910,Other,I
911,Student_911,Other,II
912,Student_912,Other,III
913,Student_913,Female,I
914,Student_914,Female,II
915,Student_915,Female,III
916,Student_916,Male,I
917,Student_917,Female,II
918,Student_918,Male,III
919,Student_919,Male,I
920,Student_920,Other,II
921,Student_921,Other,III
922,Student_922,Male,I
923,Student_923,Male,II
924,Student_924,Male,III
925,Student_925,Male,I
926,Student_926,Other,II
927,Student_927,Other,III
928,Student_928,Other,I
929,Student_929,Female,II
930,Student_930,Male,III
931,Student_931,Male,I
932,Student_932,Other,II
933,Student_933,Other,III
934,Student_934,Female,I
935,Student_935,Female,II
936,Student_936,Other,III
937,Student_937,Other,I
938,Student_938,Male,II
939,Student_939,Female,III
940,Student_940,Male,I
941,Student_941,Female,II
942,Student_942,Female,III
943,Student_943,Male,I
944,Student_944,Male,II
945,Student_945,Female,III
946,Student_946,Female,I
947,Student_947,Other,II
948,Student_948,Male,III
949,Student_949,Male,I
950,Student_950,Other,II
951,Student_951,Other,III
952,Student_952,Other,I
953,Student_953,Other,II
954,Student_954,Other,III
955,Student_955,Female,I
956,Student_956,Other,II
957,Student_957,Female,III
958,Student_958,Other,I
959,Student_959,Female,II
960,Student_960,Female,III
961,Student_961,Other,I
962,Student_962,Female,II
963,Student_963,Male,III
964,Student_964,Other,I
965,Student_965,Female,II
966,Student_966,Other,III
967,Student_967,Female,I
968,Student_968,Other,II
969,Student_969,Female,III
970,Student_970,Other,I
971,Student_971,Other,II
972,Student_972,Male,III
973,Student_973,Other,I
974,Student_974,Other,II
975,Student_975,Female,III
976,Student_976,Other,I
977,Student_977,Other,II
978,Student_978,Female,III
979,Student_979,Female,I
980,Student_980,Other,II
981,Student_981,Male,III
982,Student_982,Female,I
983,Student_983,Other,II
984,Student_984,Other,III
985,Student_985,Male,I
986,Student_986,Male,II
987,Student_987,Female,III
988,Student_988,Other,I
989,Student_989,Female,II
990,Student_990,Male,III
991,Student_991,Male,I
992,Student_992,Female,II
993,Student_993,Female,III
994,Student_994,Male,I
995,Student_995,Female,II
996,Student_996,Female,III
997,Student_997,Male,I
998,Student_998,Male,II
999,Student_999,Female,III
1000,Student_1000,Other,I
1001,Student_1001,Other,II
1002,Student_1002,Female,III
1003,Student_1003,Male,I
1004,Student_1004,Other,II
1005,Student_1005,Other,III
1006,Student_1006,Male,I
1007,Student_1007,Female,II
1008,Student_1008,Male,III
1009,Student_1009,Other,I
1010,Student_1010,Other,II
1011,Student_1011,Male,III
1012,Student_1012,Other,I
1013,Student_1013,Female,II
1014,Student_1014,Female,III
1015,Student_1015,Male,I
1016,Student_1016,Other,II
1017,Student_1017,Female,III
1018,Student_1018,Other,I
1019,Student_1019,Male,II
1020,Student_1020,Female,III
1021,Student_1021,Male,I
1022,Student_1022,Other,II
1023,Student_1023,Female,III
1024,Student_1024,Other,I
1025,Student_1025,Male,II
1026,Student_1026,Other,III
1027,Student_1027,Male,I
1028,Student_1028,Female,II
1029,Student_1029,Male,III
1030,Student_1030,Male,I
1031,Student_1031,Female,II
1032,Student_1032,Male,III
1033,Student_1033,Female,I
1034,Student_1034,Other,II
1035,Student_1035,Male,III
1036,Student_1036,Other,I
1037,Student_1037,Male,II
1038,Student_1038,Male,III
1039,Student_1039,Female,I
1040,Student_1040,Female,II
1041,Student_1041,Female,III
1042,Student_1042,Male,I
1043,Student_1043,Female,II
1044,Student_1044,Male,III
1045,Student_1045,Male,I
1046,Student_1046,Other,II
1047,Student_1047,Male,III
1048,Student_1048,Female,I
1049,Student_1049,Female,II
1050,Student_1050,Male,III
1051,Student_1051,Other,I
1052,Student_1052,Female,II
1053,Student_1053,Other,III
1054,Student_1054,Female,I
1055,Student_1055,Other,II
1056,Student_1056,Other,III
1057,Student_1057,Male,I
1058,Student_1058,Other,II
1059,Student_1059,Other,III
1060,Student_1060,Female,I
1061,Student_1061,Male,II
1062,Student_1062,Female,III
1063,Student_1063,Other,I
1064,Student_1064,Female,II
1065,Student_1065,Male,III
1066,Student_1066,Female,I
1067,Student_1067,Other,II
1068,Student_1068,Male,III
1069,Student_1069,Female,I
1070,Student_1070,Male,II
1071,Student_1071,Other,III
1072,Student_1072,Other,I
1073,Student_1073,Other,II
1074,Student_1074,Female,III
1075,Student_1075,Male,I
1076,Student_1076,Female,II
1077,Student_1077,Other,III
1078,Student_1078,Male,I
1079,Student_1079,Male,II
1080,Student_1080,Other,III
1081,Student_1081,Female,I
1082,Student_1082,Male,II
1083,Student_1083,Male,III
1084,Student_1084,Female,I
1085,Student_1085,Female,II
1086,Student_1086,Other,III
1087,Student_1087,Other,I
1088,Student_1088,Female,II
1089,Student_1089,Female,III
1090,Student_1090,Other,I
1091,Student_1091,Other,II
1092,Student_1092,Male,III
1093,Student_1093,Other,I
1094,Student_1094,Other,II
1095,Student_1095,Male,III
1096,Student_1096,Other,I
1097,Student_1097,Male,II
1098,Student_1098,Female,III
1099,Student_1099,Female,I
1100,Student_1100,Other,II
1101,Student_1101,Other,III
1102,Student_1102,Female,I
1103,Student_1103,Female,II
1104,Student_1104,Other,III
1105,Student_1105,Other,I
1106,Student_1106,Other,II
1107,Student_1107,Other,III
1108,Student_1108,Other,I
1109,Student_1109,Other,II
1110,Student_1110,Other,III
1111,Student_1111,Male,I
1112,Student_1112,Female,II
1113,Student_1113,Male,III
1114,Student_1114,Female,I
1115,Student_1115,Female,II
1116,Student_1116,Male,III
1117,Student_1117,Other,I
1118,Student_1118,Other,II
1119,Student_1119,Female,III
1120,Student_1120,Other,I
1121,Student_1121,Male,II
1122,Student_1122,Female,III
1123,Student_1123,Male,I
1124,Student_1124,Male,II
1125,Student_1125,Male,III
1126,Student_1126,Female,I
1127,Student_1127,Female,II
1128,Student_1128,Other,III
1129,Student_1129,Female,I
1130,Student_1130,Other,II
1131,Student_1131,Female,III
1132,Student_1132,Male,I
1133,Student_1133,Male,II
1134,Student_1134,Male,III
1135,Student_1135,Female,I
1136,Student_1136,Female,II
1137,Student_1137,Other,III
1138,Student_1138,Male,I
1139,Student_1139,Male,II
1140,Student_1140,Other,III
